BREED,HEIGHT,WEIGHT,LIFE EXPECTANCY,CHARACTERISTICS,GROOMING FREQUENCY,SHEDDING LEVEL,ENERGY LEVEL,TRAINABILITY,TEMPERAMENT/DEMEANOR,description
English Springer Spaniel,"20 inches (male), 19 inches (female)","50 pounds (male), 40 pounds (female)",12-14 years,"Friendly, Playful, Obedient",Weekly Brushing,Occasional,Regular Exercise,Eager to Please,Friendly,"English Springer Spanielは犬種です。

体高は50.8cm (オス)、 48.3cm (メス)です。
体重は22.7kg (オス)、 18.1kg (メス)です。
寿命は12〜14 年です。

特徴は友好的です、遊び好きです、従順です。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
English Toy Spaniel,9-10 inches,8-14 pounds,10-12 years,"Gentle, Playful, Intelligent",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"English Toy Spanielは犬種です。

体高は9〜25.4cmです。
体重は8〜6.4kgです。
寿命は10〜12 年です。

特徴は穏やかで優しいです、遊び好きです、知的です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Entlebucher Mountain Dog,"17-21 inches (male), 16-20 inches (female)","50-65 pounds (male), 40-55 pounds (female)",11-13 years,"Loyal, Smart, Enthusiastic",Occasional Bath/Brush,Infrequent,Needs Lots of Activity,Independent,Reserved with Strangers,"Entlebucher Mountain Dogは犬種です。

体高は17〜53.3cm (オス)、 16〜50.8cm (メス)です。
体重は50〜29.5kg (オス)、 40〜24.9kg (メス)です。
寿命は11〜13 年です。

特徴は忠実です、頭がいいです、熱意があります。

非常に活発で、多くの運動や遊びが必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Estrela Mountain Dog,24.5-29 inches,77-132 pounds,10-14 years,"Alert, Intelligent, Brave",Weekly Brushing,Seasonal,Calm,,,"Estrela Mountain Dogは犬種です。

体高は24.5〜73.7cmです。
体重は77〜59.9kgです。
寿命は10〜14 年です。

特徴は警戒心が強いです、知的です、勇敢です。

落ち着いています。
不明
不明
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Eurasier,19-24 inches,40-70 pounds,12-16 years,"Confident, Calm, Family-Oriented",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Agreeable,Reserved with Strangers,"Eurasierは犬種です。

体高は19〜61cmです。
体重は40〜31.8kgです。
寿命は12〜16 年です。

特徴は自信に満ちています、冷静です、家族思いです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Field Spaniel,"18 inches (male), 17 inches (female)",35-50 pounds,12-13 years,"Sweet, Fun-Loving, Sensitive",Weekly Brushing,Regularly,Regular Exercise,Agreeable,Reserved with Strangers,"Field Spanielは犬種です。

体高は45.7cm (オス)、 43.2cm (メス)です。
体重は35〜22.7kgです。
寿命は12〜13 年です。

特徴は優しいです、楽しいことが好きです、敏感です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Finnish Lapphund,"18-21 inches (male), 16-19 inches (female)",33-53 pounds,12-15 years,"Friendly, Alert, Agile",Weekly Brushing,Seasonal,Regular Exercise,Eager to Please,Reserved with Strangers,"Finnish Lapphundは犬種です。

体高は18〜53.3cm (オス)、 16〜48.3cm (メス)です。
体重は33〜24kgです。
寿命は12〜15 年です。

特徴は友好的です、警戒心が強いです、機敏です。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Finnish Spitz,"17.5-20 inches (male), 15.5-18 inches (female)","25-33 pounds (male), 20-28 pounds (female)",13-15 years,"Friendly, Good-Natured, Lively",Weekly Brushing,Seasonal,Needs Lots of Activity,Agreeable,Friendly,"Finnish Spitzは犬種です。

体高は17.5〜50.8cm (オス)、 15.5〜45.7cm (メス)です。
体重は25〜15kg (オス)、 20〜12.7kg (メス)です。
寿命は13〜15 年です。

特徴は友好的です、気立てが良いです、陽気です。

非常に活発で、多くの運動や遊びが必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Flat-Coated Retriever,"23-24.5 inches (male), 22-23.5 inches (female)",60-70 pounds,8-10 years,"Cheerful, Optimistic, Good-Humored",Weekly Brushing,Regularly,Needs Lots of Activity,Eager to Please,Friendly,"Flat-Coated Retrieverは犬種です。

体高は23〜62.2cm (オス)、 22〜59.7cm (メス)です。
体重は60〜31.8kgです。
寿命は8〜10 年です。

特徴は朗らかです、楽観的です、ユーモアがあります。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
French Bulldog,11-13 inches,under 28 pounds,10-12 years,"Adaptable, Playful, Smart",Occasional Bath/Brush,Regularly,Calm,Agreeable,Alert/Responsive,"French Bulldogは犬種です。

体高は11〜33cmです。
体重は未満 12.7kgです。
寿命は10〜12 年です。

特徴は適応力があります、遊び好きです、頭がいいです。

落ち着いています。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
定期的に抜け毛があります。"
Biewer Terrier,7-11 inches,4-8 pounds,16 years,"Intelligent, Devoted, Amusing",2-3 Times a Week Brushing,,Calm,Eager to Please,Outgoing,"Biewer Terrierは犬種です。

体高は7〜27.9cmです。
体重は4〜3.6kgです。
寿命は16 年です。

特徴は知的です、献身的です、面白いです。

落ち着いています。
飼い主の期待に応えようとする性格です。
社交的な性格です。
週に2〜3回のブラッシングが必要です。
不明"
German Longhaired Pointer,22-28 inches,55-80 pounds,12-14 years,"Versatile, Calm, Family-Oriented",Occasional Bath/Brush,,Energetic,Eager to Please,Friendly,"German Longhaired Pointerは犬種です。

体高は22〜71.1cmです。
体重は55〜36.3kgです。
寿命は12〜14 年です。

特徴は多才です、冷静です、家族思いです。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
不明"
German Pinscher,17-20 inches,25-45 pounds,12-14 years,"Courageous, Intelligent, Vivacious",Occasional Bath/Brush,Occasional,Needs Lots of Activity,Agreeable,Alert/Responsive,"German Pinscherは犬種です。

体高は17〜50.8cmです。
体重は25〜20.4kgです。
寿命は12〜14 年です。

特徴は勇敢です、知的です、活発です。

非常に活発で、多くの運動や遊びが必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
German Shepherd Dog,"24-26 inches (male), 22-24 inches (female)","65-90 pounds (male), 50-70 pounds (female)",7-10 years,"Confident, Courageous, Smart",Weekly Brushing,Regularly,Regular Exercise,Eager to Please,Alert/Responsive,"German Shepherd Dogは犬種です。

体高は24〜66cm (オス)、 22〜61cm (メス)です。
体重は65〜40.8kg (オス)、 50〜31.8kg (メス)です。
寿命は7〜10 年です。

特徴は自信に満ちています、勇敢です、頭がいいです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
German Shorthaired Pointer,"23-25 inches (male), 21-23 inches (female)","55-70 pounds (male), 45-60 pounds (female)",10-12 years,"Friendly, Smart, Willing to Please",Weekly Brushing,Regularly,Needs Lots of Activity,Eager to Please,Friendly,"German Shorthaired Pointerは犬種です。

体高は23〜63.5cm (オス)、 21〜58.4cm (メス)です。
体重は55〜31.8kg (オス)、 45〜27.2kg (メス)です。
寿命は10〜12 年です。

特徴は友好的です、頭がいいです、人に喜んでもらいたい性格です。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
German Spitz,12-15 inches,24-26 pounds,13-15 years,"Devoted, Lively, Attentive",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Eager to Please,Reserved with Strangers,"German Spitzは犬種です。

体高は12〜38.1cmです。
体重は24〜11.8kgです。
寿命は13〜15 年です。

特徴は献身的です、陽気です、注意深いです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
German Wirehaired Pointer,"24-26 inches (male), minimum 22 inches (female)",50-70 pounds,14-16 years,"Affectionate, Eager, Enthusiastic",Weekly Brushing,Regularly,Needs Lots of Activity,Eager to Please,Reserved with Strangers,"German Wirehaired Pointerは犬種です。

体高は24〜66cm (オス)、 以上 55.9cm (メス)です。
体重は50〜31.8kgです。
寿命は14〜16 年です。

特徴は愛情深いです、熱心です、熱意があります。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Giant Schnauzer,"25.5-27.5 inches (male), 23.5-25.5 inches (female)","60-85 pounds (male), 55-75 pounds (female)",12-15 years,"Loyal, Alert, Trainable",Daily Brushing,,Needs Lots of Activity,Easy Training,Alert/Responsive,"Giant Schnauzerは犬種です。

体高は25.5〜69.8cm (オス)、 23.5〜64.8cm (メス)です。
体重は60〜38.6kg (オス)、 55〜34kg (メス)です。
寿命は12〜15 年です。

特徴は忠実です、警戒心が強いです、しつけを覚えやすいです。

非常に活発で、多くの運動や遊びが必要です。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
毎日のブラッシングが必要です。
不明"
Glen of Imaal Terrier,12.5-14 inches,32-40 pounds,10-15 years,"Gentle, Spirited, Bold",2-3 Times a Week Brushing,Occasional,Regular Exercise,Independent,Alert/Responsive,"Glen of Imaal Terrierは犬種です。

体高は12.5〜35.6cmです。
体重は32〜18.1kgです。
寿命は10〜15 年です。

特徴は穏やかで優しいです、活発です、大胆です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
抜け毛はややあります。"
Golden Retriever,"23-24 inches (male), 21.5-22.5 inches (female)","65-75 pounds (male), 55-65 pounds (female)",10-12 years,"Friendly, Intelligent, Devoted",Weekly Brushing,Seasonal,Needs Lots of Activity,Eager to Please,Friendly,"Golden Retrieverは犬種です。

体高は23〜61cm (オス)、 21.5〜57.1cm (メス)です。
体重は65〜34kg (オス)、 55〜29.5kg (メス)です。
寿命は10〜12 年です。

特徴は友好的です、知的です、献身的です。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Gordon Setter,"24-27 inches (male), 23-26 inches (female)","55-80 pounds (male), 45-70 pounds (female)",12-13 years,"Affectionate, Confident, Bold",Weekly Brushing,Seasonal,Needs Lots of Activity,Independent,Reserved with Strangers,"Gordon Setterは犬種です。

体高は24〜68.6cm (オス)、 23〜66cm (メス)です。
体重は55〜36.3kg (オス)、 45〜31.8kg (メス)です。
寿命は12〜13 年です。

特徴は愛情深いです、自信に満ちています、大胆です。

非常に活発で、多くの運動や遊びが必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Grand Basset Griffon Vendéen,15.5-18 inches,40-45 pounds,13-15 years,"Independent, Happy, Outgoing",Weekly Brushing,Seasonal,Needs Lots of Activity,Independent,Friendly,"Grand Basset Griffon Vendéenは犬種です。

体高は15.5〜45.7cmです。
体重は40〜20.4kgです。
寿命は13〜15 年です。

特徴は独立心が強いです、明るいです、社交的です。

非常に活発で、多くの運動や遊びが必要です。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Great Dane,"30-32 inches (male), 28-30 inches (female)","140-175 pounds (male), 110-140 pounds (female)",7-10 years,"Friendly, Patient, Dependable",Occasional Bath/Brush,Seasonal,Energetic,Agreeable,Alert/Responsive,"Great Daneは犬種です。

体高は30〜81.3cm (オス)、 28〜76.2cm (メス)です。
体重は140〜79.4kg (オス)、 110〜63.5kg (メス)です。
寿命は7〜10 年です。

特徴は友好的です、忍耐強いです、信頼できます。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Great Pyrenees,"27-32 inches (male), 25-29 inches (female)","100 pounds & up (male), 85 pounds & up (female)",10-12 years,"Smart, Patient, Calm",Weekly Brushing,Seasonal,Needs Lots of Activity,Independent,Reserved with Strangers,"Great Pyreneesは犬種です。

体高は27〜81.3cm (オス)、 25〜73.7cm (メス)です。
体重は45.4kg 以上 (オス)、 38.6kg 以上 (メス)です。
寿命は10〜12 年です。

特徴は頭がいいです、忍耐強いです、冷静です。

非常に活発で、多くの運動や遊びが必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Greater Swiss Mountain Dog,"25.5-28.5 inches (male), 23.5-27 inches (female)","115-140 pounds (male), 85-110 pounds (female)",8-11 years,"Faithful, Family-Oriented, Dependable",Weekly Brushing,Seasonal,Energetic,Agreeable,Alert/Responsive,"Greater Swiss Mountain Dogは犬種です。

体高は25.5〜72.4cm (オス)、 23.5〜68.6cm (メス)です。
体重は115〜63.5kg (オス)、 85〜49.9kg (メス)です。
寿命は8〜11 年です。

特徴は誠実です、家族思いです、信頼できます。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Greyhound,"28-30 inches (male), 27-28 inches (female)","65-70 pounds (male), 60-65 pounds (female)",10-13 years,"Gentle, Independent, Noble",Occasional Bath/Brush,Occasional,Energetic,Independent,Friendly,"Greyhoundは犬種です。

体高は28〜76.2cm (オス)、 27〜71.1cm (メス)です。
体重は65〜31.8kg (オス)、 60〜29.5kg (メス)です。
寿命は10〜13 年です。

特徴は穏やかで優しいです、独立心が強いです、高貴です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Hamiltonstovare,19-24 inches,40-75 pounds,14-17 years,"Agile, Versatile, Regal",Occasional Bath/Brush,Infrequent,Energetic,Agreeable,Friendly,"Hamiltonstovareは犬種です。

体高は19〜61cmです。
体重は40〜34kgです。
寿命は14〜17 年です。

特徴は機敏です、多才です、高貴です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Hanoverian Scenthound,19-21 inches,79-99 pounds,10-14 years,"Loyal, Independent, Calm",Occasional Bath/Brush,Infrequent,Regular Exercise,Independent,Reserved with Strangers,"Hanoverian Scenthoundは犬種です。

体高は19〜53.3cmです。
体重は79〜44.9kgです。
寿命は10〜14 年です。

特徴は忠実です、独立心が強いです、冷静です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Harrier,19-21 inches,45-60 pounds,12-15 years,"Friendly, Outgoing, People-Oriented",Weekly Brushing,Occasional,Needs Lots of Activity,Easy Training,Friendly,"Harrierは犬種です。

体高は19〜53.3cmです。
体重は45〜27.2kgです。
寿命は12〜15 年です。

特徴は友好的です、社交的です、人懐っこいです。

非常に活発で、多くの運動や遊びが必要です。
しつけは容易な傾向があります。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Havanese,8.5-11.5 inches,7-13 pounds,14-16 years,"Intelligent, Outgoing, Funny",2-3 Times a Week Brushing,Occasional,Regular Exercise,Easy Training,Outgoing,"Havaneseは犬種です。

体高は8.5〜29.2cmです。
体重は7〜5.9kgです。
寿命は14〜16 年です。

特徴は知的です、社交的です、面白いです。

適度な運動が必要です。
しつけは容易な傾向があります。
社交的な性格です。
週に2〜3回のブラッシングが必要です。
抜け毛はややあります。"
Hokkaido,18-20 inches,44-66 pounds,12-15 years,"Dignified, Alert, Devoted",Weekly Brushing,Seasonal,Energetic,,,"Hokkaidoは犬種です。

体高は18〜50.8cmです。
体重は44〜29.9kgです。
寿命は12〜15 年です。

特徴は威厳があります、警戒心が強いです、献身的です。

多くの運動を必要とします。
不明
不明
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Hovawart,23-28 inches,65-90 pounds,10-14 years,"Alert, Faithful, Intelligent",Occasional Bath/Brush,Seasonal,Regular Exercise,May be Stubborn,Reserved with Strangers,"Hovawartは犬種です。

体高は23〜71.1cmです。
体重は65〜40.8kgです。
寿命は10〜14 年です。

特徴は警戒心が強いです、誠実です、知的です。

適度な運動が必要です。
しつけには根気が必要です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Ibizan Hound,"23.5-27.5 inches (male), 22.5-26 inches (female)","50 pounds (male), 45 pounds (female)",11-14 years,"Family-Oriented, Even-Tempered, Polite",Occasional Bath/Brush,Occasional,Needs Lots of Activity,Independent,Reserved with Strangers,"Ibizan Houndは犬種です。

体高は23.5〜69.8cm (オス)、 22.5〜66cm (メス)です。
体重は22.7kg (オス)、 20.4kg (メス)です。
寿命は11〜14 年です。

特徴は家族思いです、穏やかです、礼儀正しいです。

非常に活発で、多くの運動や遊びが必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Icelandic Sheepdog,"18 inches (male), 16.5 inches (female)","30 pounds (male), 25 pounds (female)",12-14 years,"Friendly, Playful, Inquisitive",Weekly Brushing,Seasonal,Energetic,Eager to Please,Friendly,"Icelandic Sheepdogは犬種です。

体高は45.7cm (オス)、 41.9cm (メス)です。
体重は13.6kg (オス)、 11.3kg (メス)です。
寿命は12〜14 年です。

特徴は友好的です、遊び好きです、探求心旺盛です。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Irish Red and White Setter,"24.5-26 inches (male), 22.5-24 inches (female)","42-60 pounds (male), 35-50 pounds (female)",11-15 years,"Courageous, Spirited, Determined",Weekly Brushing,,Needs Lots of Activity,Easy Training,Friendly,"Irish Red and White Setterは犬種です。

体高は24.5〜66cm (オス)、 22.5〜61cm (メス)です。
体重は42〜27.2kg (オス)、 35〜22.7kg (メス)です。
寿命は11〜15 年です。

特徴は勇敢です、活発です、決意が固いです。

非常に活発で、多くの運動や遊びが必要です。
しつけは容易な傾向があります。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
不明"
Irish Setter,"27 inches (male), 25 inches (female)","70 pounds (male), 60 pounds (female)",12-15 years,"Active, Outgoing, Sweet-Natured",2-3 Times a Week Brushing,Seasonal,Needs Lots of Activity,Agreeable,Outgoing,"Irish Setterは犬種です。

体高は68.6cm (オス)、 63.5cm (メス)です。
体重は31.8kg (オス)、 27.2kg (メス)です。
寿命は12〜15 年です。

特徴は活動的です、社交的です、気立てが優しいです。

非常に活発で、多くの運動や遊びが必要です。
比較的指示を理解しやすい犬種です。
社交的な性格です。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Irish Terrier,18 inches,"27 pounds (male), 25 pounds (female)",13-15 years,"Bold, Dashing, Tenderhearted",Occasional Bath/Brush,,Regular Exercise,Agreeable,Alert/Responsive,"Irish Terrierは犬種です。

体高は45.7cmです。
体重は12.2kg (オス)、 11.3kg (メス)です。
寿命は13〜15 年です。

特徴は大胆です、魅力的です、優しいです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
不明"
Irish Water Spaniel,"22-24 inches (male), 21-23 inches (female)","55-68 pounds (male), 45-58 pounds (female)",12-13 years,"Playful, Hardworking, Brave",Weekly Brushing,Seasonal,Needs Lots of Activity,Easy Training,Reserved with Strangers,"Irish Water Spanielは犬種です。

体高は22〜61cm (オス)、 21〜58.4cm (メス)です。
体重は55〜30.8kg (オス)、 45〜26.3kg (メス)です。
寿命は12〜13 年です。

特徴は遊び好きです、勤勉です、勇敢です。

非常に活発で、多くの運動や遊びが必要です。
しつけは容易な傾向があります。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Irish Wolfhound,"32 inches minimum (male), 30 inches minimum (female)","120 pounds (male), 105 pounds (female)",6-8 years,"Courageous, Dignified, Calm",Weekly Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"Irish Wolfhoundは犬種です。

体高は81.3cm 以上 (オス)、 76.2cm 以上 (メス)です。
体重は54.4kg (オス)、 47.6kg (メス)です。
寿命は6〜8 年です。

特徴は勇敢です、威厳があります、冷静です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Italian Greyhound,13-15 inches,7-14 pounds,14-15 years,"Playful, Alert, Sensitive",Occasional Bath/Brush,Seasonal,Regular Exercise,Independent,Aloof/Wary,"Italian Greyhoundは犬種です。

体高は13〜38.1cmです。
体重は7〜6.4kgです。
寿命は14〜15 年です。

特徴は遊び好きです、警戒心が強いです、敏感です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
よそよそしく用心深いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Deutscher Wachtelhund,18-21 inches,40-55 pounds,12-14 years,"Friendly, Versatile, Determined",Weekly Brushing,,Regular Exercise,,,"Deutscher Wachtelhundは犬種です。

体高は18〜53.3cmです。
体重は40〜24.9kgです。
寿命は12〜14 年です。

特徴は友好的です、多才です、決意が固いです。

適度な運動が必要です。
不明
不明
週に1回程度のブラッシングが必要です。
不明"
Japanese Chin,8-11 inches,7-11 pounds,10-12 years,"Charming, Noble, Loving",Weekly Brushing,Seasonal,Regular Exercise,Independent,Reserved with Strangers,"Japanese Chinは犬種です。

体高は8〜27.9cmです。
体重は7〜5kgです。
寿命は10〜12 年です。

特徴は魅力的です、高貴です、愛情深いです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Japanese Spitz,12-15 inches,10-25 pounds,12-14 years,"Loyal, Playful, Smart",Weekly Brushing,Occasional,Regular Exercise,Easy Training,Friendly,"Japanese Spitzは犬種です。

体高は12〜38.1cmです。
体重は10〜11.3kgです。
寿命は12〜14 年です。

特徴は忠実です、遊び好きです、頭がいいです。

適度な運動が必要です。
しつけは容易な傾向があります。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Jindo,18-22 inches,30-50 pounds,~14 years,"Alert, Intelligent, Bold",Weekly Brushing,Seasonal,Energetic,Independent,Reserved with Strangers,"Jindoは犬種です。

体高は18〜55.9cmです。
体重は30〜22.7kgです。
寿命は~14 年です。

特徴は警戒心が強いです、知的です、大胆です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Kai Ken,15.5-19.5 inches,20-40 pounds,12-15 years,"Loyal, Agile, Keen",Occasional Bath/Brush,Seasonal,Energetic,Independent,Reserved with Strangers,"Kai Kenは犬種です。

体高は15.5〜49.5cmです。
体重は20〜18.1kgです。
寿命は12〜15 年です。

特徴は忠実です、機敏です、鋭いです。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Karelian Bear Dog,19-23.5 inches,44-49 pounds,11-13 years,"Loyal, Independent, Courageous",Occasional Bath/Brush,Seasonal,Calm,,,"Karelian Bear Dogは犬種です。

体高は19〜59.7cmです。
体重は44〜22.2kgです。
寿命は11〜13 年です。

特徴は忠実です、独立心が強いです、勇敢です。

落ち着いています。
不明
不明
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Keeshond,"18 inches (male), 17 inches (female)",35-45 pounds,12-15 years,"Friendly, Lively, Outgoing",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Easy Training,Friendly,"Keeshondは犬種です。

体高は45.7cm (オス)、 43.2cm (メス)です。
体重は35〜20.4kgです。
寿命は12〜15 年です。

特徴は友好的です、陽気です、社交的です。

適度な運動が必要です。
しつけは容易な傾向があります。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Kerry Blue Terrier,"18-19.5 inches (male), 17.5-19 inches (female)","33-40 pounds (male), females weigh slightly less than males",12-15 years,"Smart, Alert, People-Oriented",2-3 Times a Week Brushing,,Regular Exercise,May be Stubborn,Alert/Responsive,"Kerry Blue Terrierは犬種です。

体高は18〜49.5cm (オス)、 17.5〜48.3cm (メス)です。
体重は33〜18.1kg (オス)、 メス weigh わずかに少なめ than オスです。
寿命は12〜15 年です。

特徴は頭がいいです、警戒心が強いです、人懐っこいです。

適度な運動が必要です。
しつけには根気が必要です。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
不明"
Kishu Ken,17-22 inches,30-60 pounds,11-13 years,"Faithful, Noble, Docile",Occasional Bath/Brush,Seasonal,Energetic,Independent,Reserved with Strangers,"Kishu Kenは犬種です。

体高は17〜55.9cmです。
体重は30〜27.2kgです。
寿命は11〜13 年です。

特徴は誠実です、高貴です、従順です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Komondor,"27.5 minimum inches (male), 25.5 minimum inches (female)","100 pounds or more (male), 80 pounds or more (female)",10-12 years,"Loyal, Dignified, Brave",Specialty/Professional,Seasonal,Regular Exercise,Independent,Reserved with Strangers,"Komondorは犬種です。

体高は27.5 以上 inches (オス)、 25.5 以上 inches (メス)です。
体重は45.4kg または 以上 (オス)、 36.3kg または 以上 (メス)です。
寿命は10〜12 年です。

特徴は忠実です、威厳があります、勇敢です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
専門的な手入れやプロによるトリミングが必要です。
換毛期には抜け毛が増えます。"
Kromfohrlander,15-18 inches,20-35 pounds,13-15 years,"Intelligent, Active, Sensitive",2-3 Times a Week Brushing,Regularly,Regular Exercise,Agreeable,Reserved with Strangers,"Kromfohrlanderは犬種です。

体高は15〜45.7cmです。
体重は20〜15.9kgです。
寿命は13〜15 年です。

特徴は知的です、活動的です、敏感です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
定期的に抜け毛があります。"
